,name,rating,price,Total Reviews
0,Avita LIBER Intel Core i5 8250U 13.3 Inch FHD IPS Display Matt Black Laptop #7755-AVT-NS13A2BD014P,5,"56,700",3.0
1,Dell G7 15-7591 Intel Core i5 9300H 15.6 Inch FHD Display Silver Gaming Laptop,5,"85,000",1.0
2,Acer Extensa 15 EX215-52-384M Intel Core i3 1005G1 15.6 Inch FHD Display Black Laptop,5,"44,000",4.0
3,Dell Vostro 14 3400 Intel Core i3 1115G4 14 Inch HD Display Black Laptop,5,"46,800",11.0
4,Dell Latitude 14-5410 Intel Core i5 10210U 14 Inch FHD Display Grey Laptop,5,"81,000",2.0
5,Avita Magus Intel CDC N3350 12.2 Inch FHD+ IPS Touch Display Pastel Violet Laptop,5,"23,500",1.0
6,Avita Magus Intel CDC N3350 12.2 Inch FHD+ IPS Touch Display Charcoal Grey Laptop #NS12T5BD006P,3,"24,750",1.0
7,Avita Magus Intel CDC N3350 64GB eMMC + 64GB MMC 12.2 Inch FHD+ IPS Touch Display Steel Blue Laptop #NS12T5BD005P,3,"24,750",1.0
8,Avita Magus Intel CDC N3350 64GB eMMC + 64GB MMC	 12.2 Inch FHD+ IPS Touch Display Pastel Violet Laptop #NS12T5BD008P,3,"24,750",1.0
9,Avita Magus Intel CDC N3350 64GB eMMC + 64GB MMC 12.2 Inch FHD+ IPS Touch Display Seashell Pink Laptop #NS12T5BD007P,0,"24,750",
10,Avita Essential Intel CDC N4000 14 Inch FHD IPS Display Matt Black Laptop # NE14A2BDC443-MB,0,"28,600",
11,Avita Essential Intel CDC N4000 14 Inch FHD IPS Display Matt White Laptop #NE14A2BDC443-MW,4,"28,600",3.0
12,HP 15s-du1087TU Intel CDC N4020 15.6 Inch FHD Display Silver Laptop,0,"35,500",
13,Acer Extensa 15 EX215-22-A789 AMD Athlon 3020E 15.6 Inch FHD AntiGlare Display Black Laptop,5,"35,500",1.0
14,Acer Aspire 3 A315-23 AMD Athlon Silver 3050U 15.6 Inch HD Silver Laptop #NX.HVUSI.00A,5,"36,000",1.0
15,Dell Inspiron 15-3505 AMD Athlon Silver 3050U 15.6 Inch HD Display Silver Soft Mint Laptop #BULLN315AMD2105257-2Y,5,"36,500",2.0
16,Dell Inspiron 15-3505 AMD Athlon Silver 3050U 15.6 Inch HD Display Black Laptop,5,"36,500",1.0
17,HP 15s-gr515AU AMD Athlon Silver 3050U 15.6 Inch HD Display Black Laptop #4D4U5PA-2Y,5,"37,000",2.0
18,HP 15s-gr0514AU AMD Athlon Silver 3050U 15.6 Inch FHD Display Silver Laptop #4D4U4PA-2Y,5,"37,000",1.0
19,Avita PURA AMD Ryzen 3 3200U 14 Inch FHD IPS Display Metallic Black Laptop,5,"37,960",1.0
20,HP 15s-gu0008AU AMD Athlon Silver 3050U 15.6 Inch HD Display Black Laptop,5,"38,000",1.0
21,HP 15s-du1088TU Intel PQC Silver N5030 15.6 Inch FHD Display Silver Laptop #2R0E0PA-1Y,0,"39,000",
22,Acer Aspire 3 A315-23-R9NG AMD Ryzen 3 3250U 15.6 Inch FHD Display Pure Silver Laptop #NX.HVUSI.009,0,"40,500",
23,Dell Inspiron 15-3505 AMD Ryzen 3 3250U 15.6 Inch FHD Display Soft Mint Laptop #BULLN315AMD2105102-2Y,0,"40,800",
24,Dell Inspiron 15-3505 AMD Ryzen 3 3250U 15.6 Inch FHD Display Black Laptop,0,"41,000",
