,name,rating,price,Total Reviews
0,Totolink N150RT 150 Mbps Ethernet Single-Band Wi-Fi Router,4,650,5.0
1,Totolink N100RE 150 Mbps Ethernet Single-Band Wi-Fi Router,0,850,
2,Netis WF2411 / WF2411E 150 Mbps Ethernet Dual-Band Wi-Fi Router,5,900,6.0
3,Totolink N200RE 300 Mbps Ethernet Single-Band Wi-Fi Router,0,"1,050",
4,TP-Link TL-WR820N 300 Mbps Ethernet Single-Band Wi-Fi Router,5,"1,150",6.0
5,D-Link DIR-615 VX1 300 Mbps Ethernet Single-Band Wi-Fi Router,0,"1,150",
6,Mi 4C 300 Mbps Ethernet Single-Band Wi-Fi Router,5,"1,225",1.0
7,Tenda F6 N300 Mbps Ethernet Single-Band Wi-Fi Router,5,"1,230",2.0
8,TP-Link TL-WR840N 300 Mbps Ethernet Single-Band Wi-Fi Router,5,"1,250",7.0
9,Zyxel NBG-418N 300 Mbps Ethernet Single-Band Wi-Fi Router,0,"1,300",
10,Prolink PRN3002 300Mbps Wireless-N Broadband AP / Router (2x5dBi Antenna),5,"1,325",6.0
11,Totolink N302R+ 300 Mbps Ethernet Single-Band Wi-Fi Router,0,"1,350",
12,Netis WF2419E 300 Mbps Ethernet Single-Band Wi-Fi Router,4,"1,350",6.0
13,Prolink PRN3009 N300 Mbps Ethernet Single-Band Wi-Fi Router,0,"1,350",
14,Netis WF2409E 300 Mbps Ethernet Single-Band Wi-Fi Router,5,"1,450",9.0
15,TP-Link TL-WR850N 300 Mbps Ethernet Single-Band Wi-Fi Router,4,"1,490",5.0
16,D-Link DIR-650IN N300 Mbps Ethernet Single-Band Wi-Fi Router,5,"1,530",10.0
17,Huawei WS318n N300 Mbps Ethernet Single-Band Wi-Fi Router,5,"1,575",7.0
18,Trendnet TEW-651BR 150 Mbps Ethernet Single-Band Wi-Fi Router,4,"1,600",6.0
19,Trendnet TEW-711BR 150 Mbps Ethernet Single-Band Wi-Fi Router,4,"1,600",4.0
20,Netis W4 300 Mbps Ethernet Single-Band Wi-Fi Router,4,"1,600",4.0
21,TP-Link TL-WR841N 300Mbps Wireless Router,4,"1,650",11.0
22,TP-Link TL-WR845N 300 Mbps Ethernet Single-Band Wi-Fi Router,4,"1,650",7.0
23,Totolink N350RT Ethernet Single-Band 300 Mbps Wi-Fi Router,0,"1,650",
24,Tenda F9 600 Mbps Ethernet Single-Band Wi-Fi Router,5,"1,790",8.0
25,D-Link DIR-806IN AC750 Mbps Ethernet Dual-Band Wi-Fi Router,4,"1,880",6.0
26,Asus RT-N12+ 300 Mbps Ethernet Single-Band Wi-Fi Router,5,"1,900",8.0
27,Mi 4A AC1200 Mbps Ethernet Dual-Band Wi-Fi Router (White) #25090,0,"1,900",
28,Totolink N300RT 300Mbps 2x5dBi Antena Wireless Router,0,"1,950",
29,D-Link DSL-2750U 300 Mbps Ethernet & ADSL Single-Band Wi-Fi Router,0,"2,000",
30,TP-Link Archer C24 AC750 Mbps Dual-Band Wi-Fi Router,0,"2,000",
31,D-Link DIR-816 750 Mbps Ethernet Dual-Band Wi-Fi Router,5,"2,050",8.0
32,D-Link DIR-819 AC750 Mbps Ethernet Dual-Band Wi-Fi Router,5,"2,100",5.0
33,Tenda AC5 AC1200 Mbps Ethernet Dual-Band Wi-Fi Router,5,"2,130",6.0
34,TP-Link Archer C20 AC750 Mbps Ethernet Dual-Band Wi-Fi Router,5,"2,200",13.0
35,Totolink A720R Wireless & Ethernet Dual-Band 1200 Mbps Router,0,"2,200",
36,TP-Link TL-MR3420 300Mbps Wireless N 3G Router,5,"2,350",4.0
37,TP-Link TD-W8961N 300 Mbps Ethernet & ADSL2 + Single-Band Wi-Fi Router,0,"2,450",
38,Mikrotik RB941-2nD-TC QCA9531-BL3A-R 650MHz Wireless Router,0,"2,500",
39,TP-Link Archer C54 Ethernet Dual-Band AC1200 Mbps  Wi-Fi Router,0,"2,575",
40,Tenda AC10 AC1200 Mbps Gigabit Dual-Band Wi-Fi Router,5,"2,630",1.0
